parking_name,latitude,longitude,total_space,monthly_fee,building_type,lat_long
万山珠宝工业园,22.573682,114.13499099999999,124,450,写字楼,"(22.573682, 114.13499099999999)"
万达丰大厦,22.558108999999998,114.131096,97,250,写字楼,"(22.558108999999998, 114.131096)"
世濠大厦,22.554879,114.125653,41,250,写字楼,"(22.554879, 114.125653)"
东悦名轩,22.557403,114.129421,168,250,住宅,"(22.557403, 114.129421)"
东方华都,22.557188,114.13524699999999,191,250,写字楼,"(22.557188, 114.13524699999999)"
东方大厦,22.557891,114.130766,37,480,写字楼,"(22.557891, 114.130766)"
东方颐园,22.555972,114.13338,131,250,住宅,"(22.555972, 114.13338)"
东晓综合市场,22.578024,114.14258999999998,84,250,商业,"(22.578024, 114.14258999999998)"
东翠花园,22.575367,114.10372,180,180,住宅,"(22.575367, 114.10372)"
东门天地大厦,22.555801000000002,114.12825500000001,241,250,写字楼,"(22.555801000000002, 114.12825500000001)"
中信星光明庭管理处,22.561826999999997,114.12945900000001,439,250,住宅,"(22.561826999999997, 114.12945900000001)"
中深石化大厦,22.58266,114.13581299999998,42,110,写字楼,"(22.58266, 114.13581299999998)"
中航凯特公寓,22.557724,114.11511399999999,58,450,写字楼,"(22.557724, 114.11511399999999)"
丰园酒店,22.552875,114.13061599999999,140,350,住宅,"(22.552875, 114.13061599999999)"
丽晶大厦,22.5458,114.113848,134,250,商业,"(22.5458, 114.113848)"
京基一百大厦,22.549356,114.11311,2000,250,商业,"(22.549356, 114.11311)"
京基晶都酒店,22.555972,114.13338,155,500,商业,"(22.555972, 114.13338)"
人民医院第二门诊部,22.562703,114.13518300000001,1000,150,公共,"(22.562703, 114.13518300000001)"
俊园大厦,22.557781,114.136886,290,250,写字楼,"(22.557781, 114.136886)"
信托大厦,22.552004,114.111713,45,500,商业,"(22.552004, 114.111713)"
公路局大院,22.568072,114.135498,160,110,写字楼,"(22.568072, 114.135498)"
化工大厦,22.574428,114.136198,110,110,写字楼,"(22.574428, 114.136198)"
半岛大厦,22.552334,114.12359599999999,30,450,写字楼,"(22.552334, 114.12359599999999)"
华丽园大厦,22.565724,114.13564,110,250,写字楼,"(22.565724, 114.13564)"
华安国际大酒店,22.550429,114.11701599999999,135,500,写字楼,"(22.550429, 114.11701599999999)"
华润万象城,22.547287,114.115675,1180,300,商业,"(22.547287, 114.115675)"
华瑞大厦,22.542512,114.115844,158,250,商业,"(22.542512, 114.115844)"
华通大厦,22.561618,114.11658899999999,132,420,住宅,"(22.561618, 114.11658899999999)"
华隆园,22.557172,114.13325400000001,70,250,写字楼,"(22.557172, 114.13325400000001)"
合作金融大厦,22.54983,114.123911,26,900,商业,"(22.54983, 114.123911)"
合正星园,22.571607,114.132333,280,250,住宅,"(22.571607, 114.132333)"
同乐大厦,22.562051,114.131229,114,250,写字楼,"(22.562051, 114.131229)"
名都大厦,22.556247,114.13614399999999,40,250,写字楼,"(22.556247, 114.13614399999999)"
嘉年华名苑,22.556179999999998,114.128349,59,250,住宅,"(22.556179999999998, 114.128349)"
国家珠宝检测中心,22.566531,114.13441,180,900,商业,"(22.566531, 114.13441)"
国都花园,22.554795000000002,114.11768500000001,40,110,住宅,"(22.554795000000002, 114.11768500000001)"
大信大厦,22.55566,114.11718700000002,40,110,写字楼,"(22.55566, 114.11718700000002)"
天元大厦,22.556607,114.11776,40,110,写字楼,"(22.556607, 114.11776)"
孙逸仙心血管医院停车场,22.562661,114.135751,80,150,公共,"(22.562661, 114.135751)"
宝丽大厦,22.553417,114.11695,73,110,住宅,"(22.553417, 114.11695)"
宝泉庄,22.557832,114.118609,120,300,住宅,"(22.557832, 114.118609)"
宝琳珠宝交易中心,22.572702,114.130094,236,450,写字楼,"(22.572702, 114.130094)"
工人文化宫,22.553094,114.12258600000001,150,300,公共,"(22.553094, 114.12258600000001)"
建设集团大院,22.56084,114.111576,139,250,住宅,"(22.56084, 114.111576)"
惠名花园,22.561637,114.190197,30,110,住宅,"(22.561637, 114.190197)"
振业大厦,22.551051,114.11769,90,500,写字楼,"(22.551051, 114.11769)"
文锦广场,22.564538,114.131853,1115,300,写字楼,"(22.564538, 114.131853)"
新白马,22.553795,114.12678000000001,44,600,写字楼,"(22.553795, 114.12678000000001)"
朝花大厦,22.554138000000002,114.137105,20,500,写字楼,"(22.554138000000002, 114.137105)"
柏丽花园,22.568758,114.133458,181,250,住宅,"(22.568758, 114.133458)"
桂花大厦,22.553402,114.119239,93,110,写字楼,"(22.553402, 114.119239)"
桂苑城市花园,22.557805,114.119662,203,110,住宅,"(22.557805, 114.119662)"
桂龙家园,22.56021,114.12030800000001,180,250,住宅,"(22.56021, 114.12030800000001)"
武警生活区银龙花园,22.57604,114.10486999999999,290,80,住宅,"(22.57604, 114.10486999999999)"
永新商业城,22.550572,114.123378,48,1200,商业,"(22.550572, 114.123378)"
永通大厦,22.561704000000002,114.12762099999999,50,400,写字楼,"(22.561704000000002, 114.12762099999999)"
沁芳名苑,22.563975,114.140777,100,250,住宅,"(22.563975, 114.140777)"
洪涛大厦,22.561487,114.11528,96,400,写字楼,"(22.561487, 114.11528)"
深业大厦,22.554270000000002,114.136901,18,600,写字楼,"(22.554270000000002, 114.136901)"
深圳大剧院,22.548074,114.11249299999999,380,500,商业,"(22.548074, 114.11249299999999)"
湖景大厦,22.571281,114.130128,33,250,写字楼,"(22.571281, 114.130128)"
湖臻大厦,22.5517,114.131926,31,250,写字楼,"(22.5517, 114.131926)"
物资大厦,22.560643,114.127522,160,300,商业,"(22.560643, 114.127522)"
电影大厦,22.551416,114.12001299999999,58,250,住宅,"(22.551416, 114.12001299999999)"
百仕达花园一期,22.57582,114.140149,490,250,住宅,"(22.57582, 114.140149)"
百仕达花园二期,22.579267,114.13975400000001,440,250,住宅,"(22.579267, 114.13975400000001)"
百汇大厦,22.561797,114.113339,120,400,写字楼,"(22.561797, 114.113339)"
红围坊停车场,22.551482999999998,114.119224,103,110,住宅,"(22.551482999999998, 114.119224)"
红桂大厦,22.556744000000002,114.114116,183,450,写字楼,"(22.556744000000002, 114.114116)"
缤纷时代家园,22.557171,114.131819,150,250,住宅,"(22.557171, 114.131819)"
翠拥华庭,22.569322,114.136905,240,250,住宅,"(22.569322, 114.136905)"
翠景山庄,22.584035999999998,114.13433,92,110,住宅,"(22.584035999999998, 114.13433)"
翡翠公寓,22.567266,114.13071299999999,155,30,住宅,"(22.567266, 114.13071299999999)"
联兴大厦,22.555541,114.136905,24,500,写字楼,"(22.555541, 114.136905)"
荔景大厦,22.551282,114.111499,91,110,商业,"(22.551282, 114.111499)"
蔡屋围发展大厦,22.560996,114.115152,62,600,写字楼,"(22.560996, 114.115152)"
都市名园,22.546433,114.115274,300,250,住宅,"(22.546433, 114.115274)"
都心名苑,22.555328,114.132535,46,250,住宅,"(22.555328, 114.132535)"
金丰城,22.547345,114.11649299999999,90,800,商业,"(22.547345, 114.11649299999999)"
金园花园,22.560786,114.116194,82,250,住宅,"(22.560786, 114.116194)"
金山大厦,22.547287,114.115675,155,1500,商业,"(22.547287, 114.115675)"
金湖文化中心,22.57647,114.091453,143,300,公共,"(22.57647, 114.091453)"
金碧苑,22.577472,114.095399,86,220,住宅,"(22.577472, 114.095399)"
金翠园,22.56748,114.13473,629,250,住宅,"(22.56748, 114.13473)"
金融中心,22.545977,114.113114,147,450,商业,"(22.545977, 114.113114)"
银都大厦,22.550748000000002,114.12728999999999,30,700,写字楼,"(22.550748000000002, 114.12728999999999)"
长虹大厦,22.561329,114.11460600000001,40,110,写字楼,"(22.561329, 114.11460600000001)"
雅园宾馆,22.561410000000002,114.13348899999998,100,150,写字楼,"(22.561410000000002, 114.13348899999998)"
